type,title,director,cast,country,date_added,year_added,release_year,rating,duration,listed_in
Movie,The Little Wars,Maroun Baghdadi,"Soraya Khoury, Nabil Ismaïl, Roger Hawa, Reda Khoury, Youcef Hosni, Rifaat Tarabay","France, Lebanon",2020-10-19,2020.0,1982,TV-14,108 min,"Dramas, Independent Movies, International Movies"
Movie,Under the Bombs,Philippe Aractingi,"Nada Abou Farhat, Georges Khabbaz, Bshara Atallah, Rawia Elchab, Elham Abbas, Iman Affara, Zahra Ali, Ali Maerouf Amer, Ali Azour, Najat Darwish","France, Lebanon, United Kingdom",2020-10-19,2020.0,2007,TV-MA,94 min,"Dramas, Independent Movies, International Movies"
TV Show,Unsolved Mysteries,Not Specified,,Unknown,2020-10-19,2020.0,2020,TV-MA,2 Seasons,"Crime TV Shows, Docuseries"
Movie,West Beirut,Ziad Doueiri,"Rami Doueiri, Mohamad Chamas, Rola Al Amin, Carmen Lebbos, Joseph Bou Nassar, Liliane Nemri","France, Norway, Lebanon, Belgium",2020-10-19,2020.0,1999,TV-MA,106 min,"Dramas, International Movies"
Movie,What Did I Mess,Shady Hanna,"Rola Beksmati, Junaid Zeineldine, Abboudy Mallah, Tanya Nasr, Matteo El Khodr, Rita El Khoury, Tony Benn",Lebanon,2020-10-19,2020.0,2018,TV-14,98 min,"Comedies, International Movies, Romantic Movies"
Movie,Whispers,Maroun Baghdadi,"Nadia Tueni, Ziad Rahbani","Lebanon, Canada, France",2020-10-19,2020.0,1980,TV-14,93 min,"Documentaries, International Movies"
Movie,Zozo,Josef Fares,"Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos, Viktor Axelsson, Charbel Iskandar, Yasmine Awad","Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",2020-10-19,2020.0,2005,TV-MA,99 min,"Dramas, International Movies"
Movie,ParaNorman,"Sam Fell, Chris Butler","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse, Leslie Mann, Jeff Garlin, Elaine Stritch, Bernard Hill, Jodelle Ferland, Tempestt Bledsoe, Alex Borstein, John Goodman",United States,2020-10-18,2020.0,2012,PG,93 min,"Children & Family Movies, Comedies"
TV Show,Start-Up,Not Specified,"Bae Suzy, Nam Joo-hyuk, Kim Seon-ho, Kang Han-na, Kim Do-wan, Yu Su-bin, Stephanie Lee, Kim Hae-sook, Seo Yi-sook, Song Sun-mi",South Korea,2020-10-18,2020.0,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,I Am Vengeance: Retaliation,Ross Boyask,"Stu Bennett, Vinnie Jones, Mark Griffin, Katrina Durden, Phoebe Robinson-Galvin, Sam Benjamin, David Schaal, Jessica-Jane Stafford, Bentley Kalu, Jean-Paul Ly",United Kingdom,2020-10-17,2020.0,2020,R,82 min,Action & Adventure
Movie,Disconnect,"David 'Tosh' Gitonga, Michael Jones","Brenda Wairimu, Nick Mutuma, Catherine Kamau, Pascal Tokodi, Patricia Kihoro, Pierra Makena, Bridget Shighadi, Brian Ogola, Illya Frank, Aseem Sharma, Arthur Sanya, Justin Mirichii, Maqbul Mohammed",Kenya,2020-10-16,2020.0,2018,TV-MA,107 min,"Comedies, International Movies, Romantic Movies"
TV Show,Grand Army,Not Specified,"Odessa A’zion, Odley Jean, Amir Bageria, Maliq Johnson, Amalia Yoo, Alphonso Romero Jones II, Thelonius Serrell-Freed, Anthony Ippolito, Brian Altemus",United States,2020-10-16,2020.0,2020,TV-MA,1 Season,"TV Dramas, Teen TV Shows"
Movie,In a Valley of Violence,Ti West,"Ethan Hawke, John Travolta, Taissa Farmiga, James Ransone, Karen Gillan, Toby Huss, Tommy Nohilly, Larry Fessenden, Michael Davis, Burn Gorman",United States,2020-10-16,2020.0,2016,R,104 min,Action & Adventure
TV Show,La Révolution,Not Specified,"Amir El Kacem, Marilou Aussilloux, Lionel Erdogan, Isabel Aimé Gonzalez Sola, Julien Frison, Doudou Masta, Dimitri Storoge, Amélia Lacquemant, Coline Beal, Laurent Lucas, Gaia Weiss, Chiara Tantimonaco, Nina Tantimonaco, Pierre Andrau, Philippine Martinot, Jérémie Covillault",France,2020-10-16,2020.0,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
TV Show,Someone Has to Die,Manolo Caro,"Carmen Maura, Cecilia Suárez, Ester Expósito, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández, Carlos Cuevas, Mariola Fuentes, Pilar Castro, Juan Carlos Vellido, Eduardo Casanova, Manuel Morón, Javier Pereira","Mexico, Spain",2020-10-16,2020.0,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
TV Show,The Last Kids on Earth,Not Specified,"Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David",United States,2020-10-16,2020.0,2020,TV-Y7,3 Seasons,"Kids' TV, TV Comedies"
Movie,The Trial of the Chicago 7,Aaron Sorkin,"Sacha Baron Cohen, Eddie Redmayne, Yahya Abdul-Mateen II, Jeremy Strong, Mark Rylance, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Alex Sharp, John Doman, Ben Shenkman","United States, United Kingdom, India",2020-10-16,2020.0,2020,R,130 min,Dramas
Movie,Unfriended,Levan Gabriadze,"Shelley Hennig, Moses Storm, Renee Olstead, Will Peltz, Jacob Wysocki, Courtney Halverson, Heather Sossaman, Matthew Bohrer, Mickey River, Cal Barnes","United States, Russia",2020-10-16,2020.0,2014,R,83 min,"Horror Movies, Thrillers"
Movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough",United States,2020-10-15,2020.0,2020,TV-PG,99 min,Children & Family Movies
Movie,Batman: The Killing Joke,Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North",United States,2020-10-15,2020.0,2016,R,77 min,Action & Adventure
Movie,El-Khawaga's Dilemma,Peter Mimi,"Hassan El Raddad, Mohamed Lotfy, Hana El Zahed, Hassan Hosny, Majed El Masry, Mohamed Ezz, Samia Trabelsi, Yasser Al Zankalouni, Ahmed El Sobky, Bayoumi Fouad",Egypt,2020-10-15,2020.0,2018,TV-14,94 min,"Action & Adventure, Comedies, International Movies"
TV Show,Fireman Sam,Not Specified,"Steven Kynman, David Carling, Tegwen Tucker, Su Douglas, Andrew Hodwitz, Dave Pender, Lily Cassano, Carter Treneer, Sarah Lynn Strange",United Kingdom,2020-10-15,2020.0,2018,TV-Y,4 Seasons,"British TV Shows, Kids' TV"
TV Show,Half & Half,Not Specified,"Rachel True, Essence Atkins, Telma Hopkins, Chico Benymon, Valarie Pettiford, Alec Mapa",United States,2020-10-15,2020.0,2005,TV-14,4 Seasons,TV Comedies
Movie,Kartini: Princess of Java,Hanung Bramantyo,"Dian Sastrowardoyo, Ayushita, Acha Septriasa, Deddy Sutomo, Christine Hakim, Djenar Maesa Ayu, Denny Sumargo, Adinia Wirasti, Reza Rahadian","Indonesia, Netherlands",2020-10-15,2020.0,2017,TV-PG,118 min,"Dramas, International Movies"
Movie,Love Like the Falling Rain,Lasja Fauzia Susatyo,"Jefri Nichol, Aurora Ribero, Axel Matthew, Nadya Arina, Karina Suwandhi, Rebecca Klopper",Indonesia,2020-10-15,2020.0,2020,TV-14,87 min,"Dramas, International Movies, Romantic Movies"
TV Show,One on One,Not Specified,"Flex Alexander, Kyla Pratt, Kelly Perine, Sicily Johnson, Robert Ri'chard",United States,2020-10-15,2020.0,2006,TV-14,5 Seasons,"TV Comedies, Teen TV Shows"
TV Show,Power Rangers Beast Morphers,Not Specified,"Rorrie D. Travis, Jazz Baduwalia, Jacqueline Scislowski, Abraham Rodríguez, Teuila Blakely, Kristina Ho, Cosme Flores, Kevin Copeland",United States,2020-10-15,2020.0,2020,TV-Y7,2 Seasons,Kids' TV
Movie,Rooting for Roona,"Pavitra Chalam, Akshay Shankar",,India,2020-10-15,2020.0,2020,TV-PG,42 min,"Documentaries, International Movies"
TV Show,Social Distance,Not Specified,"Danielle Brooks, Oscar Nuñez, Mike Colter, Heather Burns, Okieriete Onaodowan, Ajay Naidu, Shakira Barrera, Steven Weber, Helena Howard, Daphne Rubin-Vega, Guillermo Díaz, Miguel Sandoval, Camila Perez, Gianna Aragon, Tom Costanzo, Luca Costanzo, Olli Haaskivi, Marsha Stephanie Blake, Isabella Ferreira, Rocco Luna, Larita Brooks, Misha Brooks, Liam Foley, Zoë Verbil, Anthony Norman, Brian Jordan Alvarez, Max Jenkins, Peter Vack, Rana Roy, Peter Scanavino, Ali Ahn, Tami Sagher, Barbara Rosenblat, Michael Mulheren, Leo Bai-Scanavino, Becky Ann Baker, Dylan Baker, Marcia DeBonis, Raymond Anthony Thomas, Sunita Mani, Kylie Liya Page, David Iacono, Lachlan Riley Watson, Niles Fitch, Will Meyers, Ava DeMary, Lydia Look, Asante Blackk, Ayize Ma'at, Lovie Simone",United States,2020-10-15,2020.0,2020,TV-MA,1 Season,"TV Comedies, TV Dramas"
Movie,A Choo,"Kevin Ko, Peter Tsi","Kai Ko, Ariel Lin, Darren Wang, Zhang Xiaolong, Louis Koo, Vanness Wu, Kate Tsui",Taiwan,2020-10-14,2020.0,2020,TV-14,101 min,"Action & Adventure, International Movies, Romantic Movies"
Movie,BLACKPINK: Light Up the Sky,Caroline Suh,Blackpink,United States,2020-10-14,2020.0,2020,TV-14,80 min,"Documentaries, Music & Musicals"
Movie,The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,,Mexico,2020-10-14,2020.0,2020,TV-MA,110 min,"Documentaries, International Movies"
Movie,Fida,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",India,2020-10-13,2020.0,2004,TV-14,117 min,"International Movies, Romantic Movies, Thrillers"
Movie,Octonauts & the Great Barrier Reef,Blair Simmons,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham",United Kingdom,2020-10-13,2020.0,2020,TV-Y,47 min,Children & Family Movies
TV Show,The Cabin with Bert Kreischer,Not Specified,"Bert Kreischer, Anthony Anderson, Caitlyn Jenner, Tom Segura, Joey Diaz, Nikki Glaser, Fortune Feimster, Bobby Lee, Donnell Rawlings, Kaley Cuoco, Joel McHale, Ms. Pat, Deon Cole, Big Jay Oakerson",United States,2020-10-13,2020.0,2020,TV-MA,1 Season,"Reality TV, TV Comedies"
Movie,Dil,Indra Kumar,"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",India,2020-10-12,2020.0,1990,TV-14,165 min,"Comedies, Dramas, International Movies"
Movie,Disco Dancer,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",India,2020-10-12,2020.0,1982,TV-14,134 min,"Cult Movies, Dramas, International Movies"
Movie,Hunterrr,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar, Veera Saxena, Sagar Deshmukh",India,2020-10-12,2020.0,2015,TV-MA,140 min,"Comedies, International Movies, Romantic Movies"
TV Show,Kipo and the Age of Wonderbeasts,Not Specified,"Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum",United States,2020-10-12,2020.0,2020,TV-Y7,3 Seasons,"Kids' TV, TV Comedies"
Movie,Phir Hera Pheri,Neeraj Vora,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Bipasha Basu, Rimi Sen, Johny Lever, Manoj Joshi, Rajpal Yadav, Sharat Saxena, Suresh Menon",India,2020-10-12,2020.0,2006,TV-14,150 min,"Comedies, International Movies"
Movie,The Legend of Bhagat Singh,Rajkumar Santoshi,"Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra, Raj Babbar, Farida Jalal, Amrita Rao, Mukesh Tiwari",India,2020-10-12,2020.0,2002,TV-14,156 min,"Dramas, International Movies"
Movie,House of the Witch,Alex Merkin,"Emily Bader, Darren Mann, Michelle Randolph, Coy Stewart, Jesse Pepe, Arden Belle, Joel Nagle, Nolan Bateman",United States,2020-10-11,2020.0,2017,TV-MA,86 min,Horror Movies
TV Show,Deaf U,Not Specified,,United States,2020-10-09,2020.0,2020,TV-MA,1 Season,Docuseries
Movie,Ginny Weds Sunny,Puneet Khanna,"Yami Gautam, Vikrant Massey, Suhail Nayyar, Ayesha Raza Mishra, Isha Talwar, Rajeev Gupta",India,2020-10-09,2020.0,2020,TV-MA,126 min,"Comedies, International Movies, Romantic Movies"
Movie,My Step Dad: The Hippie,Meltem Bozoflu,"Onur Buldu, Mahir İpek, Derya Karadaş, Onur Attila, Meltem Yılmazkaya, Yasemin Conka, Burak Topaloglu, Sefik Taylan, Orkun Karagöz, Erdogan Aydin","Turkey, South Korea",2020-10-09,2020.0,2018,TV-MA,100 min,"Comedies, International Movies"
Movie,Super Monsters: Dia de los Monsters,Not Specified,,Canada,2020-10-09,2020.0,2020,TV-Y,25 min,Children & Family Movies
Movie,The Forty-Year-Old Version,Radha Blank,"Radha Blank, Peter Kim, Oswin Benjamin, Imani Lewis, Haskiri Velazquez, Antonio Ortiz, T.J. Atoms, Reed Birney",United States,2020-10-09,2020.0,2020,R,124 min,"Comedies, Dramas, Independent Movies"
TV Show,The Haunting of Bly Manor,Not Specified,"Victoria Pedretti, Oliver Jackson-Cohen, Henry Thomas, Amelia Eve, T'Nia Miller, Rahul Kohli, Tahirah Sharif, Amelie Bea Smith, Benjamin Evan Ainsworth",United States,2020-10-09,2020.0,2020,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
Movie,Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon",Bigflo & Oli,France,2020-10-08,2020.0,2020,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals"
TV Show,Do Do Sol Sol La La Sol,Not Specified,"Go A-ra, Lee Jae-wook, Kim Ju-hun, Ye Ji-won, Lee Soon-jae, Shin Eun-soo, Seo Yi-sook",South Korea,2020-10-08,2020.0,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Palermo Hollywood,Eduardo Pinto,"Brian Maya, Matías Desiderio, Manuela Pal, Azul Lombardía",Argentina,2020-10-08,2020.0,2004,TV-MA,106 min,"Dramas, International Movies"
TV Show,Private Lives,Not Specified,"Seohyun, Ko Kyung-pyo, Kim Hyo-jin, Kim Young-min, Tae Won-seok, Song Sun-mi, Park Seong-geun, Jang Jin-hee, Yoon Sa-bong, Lee Hak-ju, Song Sang-eun, Jang Won-hyeok, Yoo Hee-je, Min Zio, Kim Min-sang, Kim Ba-da, Cha Soo-yeon",South Korea,2020-10-08,2020.0,2020,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,The 100,Not Specified,"Eliza Taylor, Paige Turco, Bob Morley, Marie Avgeropoulos, Christopher Larkin, Henry Ian Cusick, Isaiah Washington, Lindsey Morgan, Devon Bostick, Richard Harmon, Ricky Whittle, Jarod Joseph, Chelsey Reist, Sachin Sahel, Adina Porter","United States, Canada",2020-10-08,2020.0,2020,TV-MA,7 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
Movie,Hubie Halloween,Steve Brill,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",United States,2020-10-07,2020.0,2020,PG-13,104 min,"Comedies, Horror Movies"
TV Show,To the Lake,Pavel Kostomarov,"Viktoriya Isakova, Kirill Käro, Aleksandr Robak, Natalya Zemtsova, Maryana Spivak, Yuri Kuznetsov, Eldar Kalimulin, Viktoriya Agalakova, Alexander Yatsenko, Saveliy Kudryashov",Russia,2020-10-07,2020.0,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
Movie,American Pie 9: Girls' Rules,Mike Elliott,"Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Sara Rue, Zachary Gordon, Camaron Engels, Christian Valderrama, Zayne Emory",United States,2020-10-06,2020.0,2020,R,96 min,Comedies
Movie,Dolly Parton: Here I Am,Francis Whately,Dolly Parton,United Kingdom,2020-10-06,2020.0,2019,TV-14,90 min,"Documentaries, Music & Musicals"
Movie,StarBeam: Halloween Hero,Jon Izen,"Nahanni Mitchell, Dean Petriw, Terry Klassen, Sam Vincent, Rhona Rees, Laara Sadiq",Canada,2020-10-06,2020.0,2020,TV-Y,33 min,Children & Family Movies
Movie,Walk Away from Love,Christopher Nolen,"Noree Victoria, Brad James, Robert Christopher Riley, Brely Evans, Sabrina Revelle",United States,2020-10-06,2020.0,2017,TV-14,81 min,"Dramas, Romantic Movies"
TV Show,Bad Boy Billionaires: India,Not Specified,,India,2020-10-05,2020.0,2020,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows"
Movie,David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",David Attenborough,"United States, United Kingdom",2020-10-04,2020.0,2020,PG,84 min,Documentaries
Movie,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,"Daniel Levy, Eugene Levy, Catherine O'Hara, Annie Murphy, Chris Elliott, Emily Hampshire, Sarah Levy, Jennifer Robertson, Noah Reid, Dustin Milligan, Karen Robinson, Rizwan Manji",Canada,2020-10-03,2020.0,2020,TV-MA,44 min,"Documentaries, LGBTQ Movies"
Movie,Good Game: The Beginning,Umut Aral,"Mert Yazıcıoğlu, Afra Saraçoğlu, Yiğit Kirazcı, Orkun Işıtmak, Bahar Şahin, Tolga Canbeyli, Bada Oh Deniz, Hakan Kurtaş, Doğaç Yildiz",Turkey,2020-10-03,2020.0,2018,TV-14,115 min,"Dramas, International Movies, Sports Movies"
TV Show,Pat a Pat Como,Not Specified,,Unknown,2020-10-03,2020.0,2016,TV-Y,1 Season,Kids' TV
TV Show,Qurious Como,Not Specified,,Unknown,2020-10-03,2020.0,2017,TV-Y,1 Season,Kids' TV
Movie,A Chaster Marriage,Umut Kirca,"Emre Karayel, Ceren Moray, Begüm Kütük, Ececan Gümeci, Ümit Erdim, Cem Kiliç, Haldun Boysan, Ferdi Akarnur, Mine Teber, Güneş Hayat",Turkey,2020-10-02,2020.0,2016,TV-14,94 min,"Comedies, International Movies, Romantic Movies"
Movie,A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore","Alan C. Lim, Smith Foreman, Maisie Benson, Ann Kendrick, Kerry Gudjohnsen, Paul Killam, Stanley Moore, Tyler Hendrix, Ella Joy Ballesteros, Jimmy Olea",Unknown,2020-10-02,2020.0,2020,TV-Y,22 min,Children & Family Movies
TV Show,DreamWorks Happy Holidays from Madagascar,Not Specified,"Tom McGrath, Chris Miller, Christopher Knights, John DiMaggio, Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Cedric the Entertainer, Andy Richter, Carl Reiner",United States,2020-10-02,2020.0,2005,TV-PG,1 Season,"Kids' TV, TV Comedies"
TV Show,Emily in Paris,Not Specified,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Kate Walsh, Samuel Arnold, Bruno Gouery, Camille Razat",United States,2020-10-02,2020.0,2020,TV-MA,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas"
TV Show,H2O: Just Add Water,Not Specified,"Cariba Heine, Phoebe Tonkin, Angus McLaren, Burgess Abernethy, Claire Holt, Alan David Lee, Cleo Massey, Jamie Timony",Australia,2020-10-02,2020.0,2009,TV-PG,3 Seasons,"Kids' TV, TV Dramas"
Movie,Òlòtūré,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,2020-10-02,2020.0,2020,TV-MA,107 min,"Dramas, International Movies"
Movie,Serious Men,Sudhir Mishra,"Nawazuddin Siddiqui, Nasser, Aakshath Das, Indira Tiwari, Sanjay Narvekar, Shweta Basu Prasad",India,2020-10-02,2020.0,2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
Movie,The Binding,Domenico de Feudis,"Riccardo Scamarcio, Mía Maestro",Italy,2020-10-02,2020.0,2020,TV-MA,93 min,"Horror Movies, International Movies, Thrillers"
Movie,Turkish Dance School,Burak Aksak,"Binnur Kaya, Demet Özdemir, Uraz Kaygılaroğlu, Okan Çabalar, Bora Cengiz, Nergis Öztürk, Berat Yenilmez, Meltem Gülenç, Hakan Salınmış",Turkey,2020-10-02,2020.0,2017,TV-MA,107 min,"Comedies, International Movies, Romantic Movies"
Movie,Vampires vs. the Bronx,Oz Rodriguez,"Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Method Man, Shea Whigham, Coco Jones, The Kid Mero, Chris Redd, Vladimir Caamaño, Jeremie Harris, Adam David Thompson, Zoe Saldana",United States,2020-10-02,2020.0,2020,PG-13,86 min,"Comedies, Horror Movies"
Movie,You've Got This,Salvador Espinosa,"Mauricio Ochmann, Esmeralda Pimentel, Matteo Giannini, Regina Reynoso, Juan Martín Jauregui, Tato Alexander, Verónica Bravo, Fernando Becerril, Moisés Arizmendi, Tiaré Scanda, Mariana Cabrera, Montserrat Marañón, Verónica Langer",Mexico,2020-10-02,2020.0,2020,TV-MA,112 min,"Comedies, International Movies, Romantic Movies"
Movie,All Because of You,Adrian Teh,"Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii, Nam Ron, Theebaan Govindasamy, Taufiq Hanafi, Hafizul Kamal, Josiah Hogan, Sophia Albarakbah, Sugeeta Chandran, Anna Jobling",Malaysia,2020-10-01,2020.0,2020,TV-PG,102 min,"Action & Adventure, Comedies, International Movies"
Movie,An Ordinary Man,Brad Silberling,"Ben Kingsley, Hera Hilmar, Peter Serafinowicz","Serbia, United States",2020-10-01,2020.0,2017,R,91 min,"Dramas, Thrillers"
Movie,Carlos Almaraz: Playing with Fire,"Elsa Flores Almaraz, Richard J Montoya","Edward James Olmos, Zach De La Rocha",United States,2020-10-01,2020.0,2019,TV-14,83 min,"Documentaries, LGBTQ Movies"
Movie,Cold Harbour,Carey McKenzie,"Tony Kgoroge, Yu Nan, Thomas Gumede, Deon Lotz, Fana Mokoena, Zolani Mahola, Kenneth Fok, Nicole Bessick",South Africa,2020-10-01,2020.0,2013,TV-MA,73 min,"Action & Adventure, Dramas, International Movies"
TV Show,Evil,Not Specified,"Katja Herbers, Mike Colter, Aasif Mandvi, Michael Emerson, Christine Lahti, Kurt Fuller, Marti Matulis",United States,2020-10-01,2020.0,2019,TV-14,1 Season,TV Dramas
TV Show,Familiar Wife,Not Specified,"Ji Sung, Han Ji-min, Kang Han-na, Jang Seung-jo",South Korea,2020-10-01,2020.0,2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
TV Show,Food Wars!: Shokugeki no Soma,Not Specified,"Yoshitsugu Matsuoka, Risa Taneda, Minami Takahashi, Shizuka Ishigami, Natsuki Hanae, Yuki Ono, Takahiro Sakurai, Ai Kayano, Maaya Uchida, Taishi Murata, Yusuke Kobayashi, Saori Onishi, Hisako Kanemoto, Chinatsu Akasaki, Nobuhiko Okamoto, Junichi Suwabe, Yuichi Nakamura, Jun Fukuyama",Japan,2020-10-01,2020.0,2016,TV-MA,2 Seasons,"Anime Series, International TV Shows, Teen TV Shows"
Movie,Free State of Jones,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell, Christopher Berry, Sean Bridgers, Jacob Lofland, Thomas Francis Murphy, Bill Tangradi",United States,2020-10-01,2020.0,2016,R,139 min,"Action & Adventure, Dramas"
TV Show,"Good Morning, Verônica",Not Specified,"Tainá Müller, Eduardo Moscovis, Camila Morgado, Antonio Grassi, Elisa Volpatto, César Mello, Sílvio Guindane, Alice Valverde, DJ Amorim, Adriano Garib, Johnnas Oliva, Marina Provenzzano, José Rubens Chachá, Julia Ianina, Sacha Bali, Aline Borges, Cassio Pandolfi, Pally Siqueira, Juliana Lohmann",Brazil,2020-10-01,2020.0,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Mysteries"
Movie,Human Nature,Adam Bolt,,United States,2020-10-01,2020.0,2019,TV-14,95 min,Documentaries
Movie,Hunt for the Wilderpeople,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby",New Zealand,2020-10-01,2020.0,2016,PG-13,101 min,"Action & Adventure, Comedies, Dramas"
Movie,I'm Leaving Now,"Lindsey Cordero, Armando Croda",,"United States, Mexico",2020-10-01,2020.0,2019,TV-MA,75 min,"Documentaries, International Movies"
TV Show,Journey of an African Colony,Not Specified,Olasupo Shasore,Unknown,2020-10-01,2020.0,2018,TV-MA,1 Season,"Docuseries, International TV Shows"
TV Show,Oktoberfest: Beer & Blood,Not Specified,"Mišel Matičević, Martina Gedeck, Klaus Steinbacher, Mercedes Müller, Maximilian Brückner, Brigitte Hobmeier, Markus Krojer, Martin Feifel, Michael Kranz, Vladimir Burlakov","Germany, Czech Republic",2020-10-01,2020.0,2020,TV-MA,1 Season,"International TV Shows, TV Dramas"
Movie,Rize,David LaChapelle,"Tommy the Clown, Tight Eyez","United States, United Kingdom",2020-10-01,2020.0,2005,PG-13,87 min,"Documentaries, Music & Musicals"
TV Show,Secreto bien guardado,Not Specified,"Oriana Sabatini, Victorio D'Alessandro, Noemí Frenkel, Matías Mayer, Paula Sartor, Agustina Palma, Graciela Tenenbaum, Bárbara Lombardo",Argentina,2020-10-01,2020.0,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
TV Show,Sword Art Online,Not Specified,"Yoshitsugu Matsuoka, Haruka Tomatsu, Ayana Taketatsu, Kanae Ito, Rina Hidaka, Ayahi Takagaki, Hiroaki Hirata, Hiroki Yasumoto, Saori Hayami, Koichi Yamadera",Japan,2020-10-01,2020.0,2018,TV-MA,3 Seasons,"Anime Series, International TV Shows"
Movie,The American Game,Mostafa Abu Seif,"Nahed El Sebaï, Ahmed Fahmi, Shaima Saif, Bayoumi Fouad, Entsar",Unknown,2020-10-01,2020.0,2019,TV-PG,91 min,"Comedies, International Movies, Romantic Movies"
Movie,The Book of Sun,Faris Godus,"Baraa Alem, Ismail Alhassan, Ahmed Saddam, Sohayb Godus, Nawaf Alshubaili, Eyad Ayman Kaifi",Saudi Arabia,2020-10-01,2020.0,2020,TV-14,120 min,"Comedies, Independent Movies, International Movies"
