type,title,director,cast,country,date_added,year_added,release_year,rating,duration,listed_in
TV Show,Squid Game,Not Specified,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",Unknown,2021-09-17,2021.0,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
TV Show,Tayo and Little Wizards,Not Specified,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",Unknown,2021-09-17,2021.0,2020,TV-Y7,1 Season,Kids' TV
Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",Unknown,2021-09-17,2021.0,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers"
Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",Unknown,2021-09-17,2021.0,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies"
TV Show,Angry Birds,Not Specified,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,2021-09-16,2021.0,2018,TV-Y7,1 Season,"Kids' TV, TV Comedies"
Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States",2021-09-16,2021.0,2017,PG-13,96 min,"Action & Adventure, Dramas"
TV Show,Chhota Bheem,Not Specified,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2021-09-16,2021.0,2021,TV-Y7,3 Seasons,Kids' TV
TV Show,He-Man and the Masters of the Universe,Not Specified,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,2021-09-16,2021.0,2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy"
Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,2021-09-16,2021.0,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas"
Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,2021-09-16,2021.0,1978,PG,116 min,"Dramas, Horror Movies, Thrillers"
